Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ürün derecelendirmesi sayısı (product.metafields.reviews.rating_count),Alerjen Bilgisi (product.metafields.shopify.allergen-information),Diyet Tercihleri (product.metafields.shopify.dietary-preferences),Fındık Ezmesi Çeşitleri (product.metafields.shopify.nut-butter-variety),Kabuklu yemiş işleme yöntemi (product.metafields.shopify.nut-processing-method),Fındık/Tohum türü (product.metafields.shopify.nut-seed-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
yer-fistigi-500g,Yer Fıstığı 500G,"<h2>Doğal Yer Fıstığı - Protein ve Enerji Kaynağı</h2>
<p>%100 doğal ve yüksek kaliteli <strong>yer fıstığı</strong> ile günlük beslenmenize lezzet ve sağlık katın. Yer fıstığı; protein, sağlıklı yağlar, E vitamini, magnezyum, folik asit ve çinko açısından zengin yapısıyla kas gelişimini destekler, uzun süre tokluk hissi sağlar ve kalp sağlığını korumaya yardımcı olur.</p>
<p>Lif içeriği, sindirimi desteklerken kan şekerinin dengelenmesine katkı sağlar. Koruyucu ve katkı maddesi içermez; dengeli diyetin bir parçası olarak, atıştırmalık veya tariflerinizde doğal bir enerji kaynağı olarak tüketebilirsiniz.</p>
<p>Bir avuç (yaklaşık 30 gram) yer fıstığı, protein ihtiyacının yanında günlük enerji ve vitamin desteği sağlar. Tazelik ve kalite garantili ambalajla size ulaşır.</p>
<h3>Yer Fıstığının Faydaları</h3>
<ul>
<li>Kalp ve damar sağlığını destekler</li>
<li>Kas gelişimini ve onarımını hızlandırır</li>
<li>B vitamini, E vitamini, magnezyum ve çinko bakımından zengin</li>
<li>Uzun süreli tokluk ve enerji sağlar</li>
<li>Doğal antioksidanlar içerir</li>
</ul>
<h3>Kullanım Alanları</h3>
<p>Ara öğünlerde direkt tüketebilir, kahvaltıda, salatalarda veya tatlılarda kullanabilirsiniz. Spor öncesi ya da sonrasında enerji için idealdir.</p>",Ezmeo,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds","","",true,Title,Default Title,,,,,,,,EZMEO-K005,500.0,,deny,manual,249.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/Yer_f_st_doypack.jpg?v=1764562035,1,Kavrulmuş kabuksuz yer fıstıkları yakın çekim detay.,false,Doğal Yer Fıstığı: Protein ve Vitamin Deposu | Ezmeo,"Doğal %100 yer fıstığı, protein ve vitamin yönünden zengin sağlıklı atıştırmalık. Yüksek lif, magnezyum ve E vitamini içerir. Hemen sipariş ver!
",,,,,,,,,,,,,,peanuts,vegetarian; vegan; gluten-free; halal; keto; high-protein; dairy-free,,raw,peanuts,,g,,,active
yer-fistigi-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/Yer_f_st_kase_i_inde_sergileniyor.jpg?v=1764562016,2,"Doğal yer fıstığı taneleri, kabuklarıyla birlikte bir kase içinde.",,,,,,,,,,,,,,,,,,,,,,,,,,
yer-fistigi-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/YerFistigi3.Gorsel.jpg?v=1764531680,3,Elinde taze yer fıstığı tutan bir yetişkin.,,,,,,,,,,,,,,,,,,,,,,,,,,
yer-fistigi-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/1_59060caa-2c33-4415-864f-edf106c5539e.png?v=1764531680,4,Salata üzerine serpilmiş yer fıstığı parçaları.,,,,,,,,,,,,,,,,,,,,,,,,,,
yer-fistigi-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/2_9a951d1e-808b-413f-8a69-08e99be73987.png?v=1764531680,5,Enerji veren doğal atıştırmalık doğal yer fıstığı tabağı.,,,,,,,,,,,,,,,,,,,,,,,,,,
cig-badem-500g,Çiğ Badem 500G,"<h2>Çiğ Badem 500g - Doğal ve Katkısız</h2>
<p><strong>Çiğ badem</strong>, sağlıklı beslenmenin vazgeçilmez besin kaynaklarından biridir. %100 doğal ve katkısız olan ürünümüz, E vitamini, magnezyum, kalsiyum, protein ve sağlıklı yağlar açısından son derece zengindir.</p>
<p>Çiğ badem, kalp sağlığını destekler, kolesterol seviyesini dengelemeye yardımcı olur ve beyin fonksiyonlarını güçlendirir. Lif içeriği sayesinde sindirim sistemini düzenler ve uzun süre tokluk hissi sağlar.</p>
<p>Antioksidan özelliği ile hücre yenilenmesine destek olur ve bağışıklık sistemini güçlendirir. Günde bir avuç (yaklaşık 30 gram) çiğ badem tüketmek, günlük vitamin ve mineral ihtiyacınızı karşılamaya yardımcı olur. Ezmeo olarak, en kaliteli çiğ bademleri özenle seçiyor ve hijyenik koşullarda paketleyerek sofranıza ulaştırıyoruz.</p>
<h3>Çiğ Bademin Faydaları</h3>
<ul>
<li>Kalp ve damar sağlığını korur, kolesterol dengesini düzenler</li>
<li>Beyin fonksiyonlarını destekler, hafıza güçlendirir</li>
<li>E vitamini ile cilt sağlığını korur ve yaşlanmayı geciktirir</li>
<li>Kemik sağlığını destekleyen kalsiyum ve magnezyum içerir</li>
<li>Kan şekeri dengesini korumaya yardımcı olur</li>
<li>Doğal protein kaynağı olarak kas gelişimini destekler</li>
</ul>
<h3>Kullanım Önerileri</h3>
<p>Çiğ bademi direkt olarak ara öğünlerde tüketebilir, smoothie ve yoğurtlara ekleyebilir, salata ve tatlı tariflerinizde kullanabilirsiniz. Badem sütü yapımında veya ev yapımı granola karışımlarında mükemmel bir seçenektir. Kahvaltılarınızı zenginleştirmek için de idealdir.</p>
<h3>Ürün Özellikleri</h3>
<ul>
<li>500 gram net ağırlık</li>
<li>%100 doğal ve katkısız</li>
<li>Tuz, şeker ve koruyucu içermez</li>
<li>Hijyenik koşullarda paketlenmiştir</li>
<li>Serin ve kuru yerde muhafaza edilmelidir</li>
<li>Glutensiz ve vegan</li>
</ul>
<p>Sağlıklı yaşamın vazgeçilmezi <strong>Çiğ Badem 500g</strong>'ı hemen sipariş verin, doğal besin deposundan yararlanın!</p>",Ezmeo,"Food, Beverages & Tobacco > Food Items > Nuts & Seeds","","",true,Title,Default Title,,,,,,,,EZMEO-K004,500.0,,deny,manual,321.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/GeneratedImageNovember30_2025-3_33AM.jpg?v=1764530859,1,"",false,Çiğ Badem 500g - Doğal Protein ve Vitamin Deposu | Ezmeo,"500g çiğ badem, E vitamini, magnezyum ve protein deposu. Kalp sağlığı, beyin fonksiyonları için ideal doğal atıştırmalık. Katkısız ve taze!",,,,,,,,,,,,,,almonds,vegetarian; vegan; gluten-free; halal; keto; high-protein,,raw,almonds,,g,,,active
cig-badem-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/bademici2.gorsel.jpg?v=1764530859,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
cig-badem-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/Badem3.Fotograf.jpg?v=1764530859,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,
cig-badem-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/1_ee694136-f123-48f6-b82d-d9f31c5f1e60.png?v=1764530859,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,
cig-badem-500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0987/2297/1942/files/2_570db969-579b-4275-919a-0d6dcc0fc7ad.png?v=1764530859,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,
